Title,Price,Rating,Colors,Size,Gender,Timestamp
T-shirt 2,1634400.0,3.9,3,M,Women,2026-05-16 19:24:25.314654
Hoodie 3,7950080.0,4.8,3,L,Unisex,2026-05-16 19:24:25.314875
Pants 4,7476960.0,3.3,3,XL,Men,2026-05-16 19:24:25.315085
Outerwear 5,5145440.0,3.5,3,XXL,Women,2026-05-16 19:24:25.315268
Jacket 6,2453920.0,3.3,3,S,Unisex,2026-05-16 19:24:25.315456
Crewneck 7,6892000.0,4.3,3,M,Men,2026-05-16 19:24:25.315740
T-shirt 8,7802560.0,3.1,3,L,Women,2026-05-16 19:24:25.315959
Hoodie 9,3972160.0,3.2,3,XL,Unisex,2026-05-16 19:24:25.316147
Pants 10,3100160.0,4.2,3,XXL,Men,2026-05-16 19:24:25.316625
Jacket 12,8527840.0,3.9,3,M,Unisex,2026-05-16 19:24:25.317459
Crewneck 13,5447200.0,3.2,3,L,Men,2026-05-16 19:24:25.317827
T-shirt 14,3248800.0,3.8,3,XL,Women,2026-05-16 19:24:25.318205
Hoodie 15,2184160.0,3.6,3,XXL,Unisex,2026-05-16 19:24:25.318566
Outerwear 17,841600.0,3.8,3,M,Women,2026-05-16 19:24:25.319319
Jacket 18,5500000.0,3.8,3,L,Unisex,2026-05-16 19:24:25.319596
Crewneck 19,1308960.0,3.6,3,XL,Men,2026-05-16 19:24:25.319807
T-shirt 20,1325600.0,3.4,3,XXL,Women,2026-05-16 19:24:25.320003
Pants 22,4319680.0,4.9,3,M,Men,2026-05-16 19:24:26.125746
Outerwear 23,4655840.0,3.7,3,L,Women,2026-05-16 19:24:26.125965
Jacket 24,8223520.0,3.9,3,XL,Unisex,2026-05-16 19:24:26.126171
Crewneck 25,8322559.999999999,3.3,3,XXL,Men,2026-05-16 19:24:26.126378
T-shirt 26,7292320.0,4.6,3,S,Women,2026-05-16 19:24:26.126583
Hoodie 27,3551840.0,4.8,3,M,Unisex,2026-05-16 19:24:26.126822
Pants 28,5216160.0,4.0,3,L,Men,2026-05-16 19:24:26.127030
Outerwear 29,861600.0,3.1,3,XL,Women,2026-05-16 19:24:26.127572
Jacket 30,8610240.0,3.7,3,XXL,Unisex,2026-05-16 19:24:26.127930
T-shirt 32,6657920.0,3.4,3,M,Women,2026-05-16 19:24:26.128414
Hoodie 33,7248160.0,3.5,3,L,Unisex,2026-05-16 19:24:26.128631
Pants 34,8362719.999999999,3.8,3,XL,Men,2026-05-16 19:24:26.128838
Outerwear 35,1356160.0,3.8,3,XXL,Women,2026-05-16 19:24:26.129046
Jacket 36,7249280.0,3.7,3,S,Unisex,2026-05-16 19:24:26.129288
Crewneck 37,6006080.0,4.0,3,M,Men,2026-05-16 19:24:26.129504
T-shirt 38,4866080.0,3.2,3,L,Women,2026-05-16 19:24:26.129710
Hoodie 39,6431200.0,4.6,3,XL,Unisex,2026-05-16 19:24:26.129912
Pants 40,5853600.0,3.1,3,XXL,Men,2026-05-16 19:24:26.130115
Jacket 42,6744160.0,3.7,3,M,Unisex,2026-05-16 19:24:26.789998
Crewneck 43,2909600.0,4.5,3,L,Men,2026-05-16 19:24:26.790080
T-shirt 44,3312320.0,3.0,3,XL,Women,2026-05-16 19:24:26.790163
Hoodie 45,8693120.0,4.5,3,XXL,Unisex,2026-05-16 19:24:26.790244
Outerwear 47,6364640.0,3.2,3,M,Women,2026-05-16 19:24:26.790403
Jacket 48,4994720.0,3.4,3,L,Unisex,2026-05-16 19:24:26.790512
Crewneck 49,1071200.0,4.0,3,XL,Men,2026-05-16 19:24:26.790687
T-shirt 50,5932960.0,3.1,3,XXL,Women,2026-05-16 19:24:26.790784
Pants 52,1596480.0,4.0,3,M,Men,2026-05-16 19:24:26.790967
Outerwear 53,4470880.0,4.3,3,L,Women,2026-05-16 19:24:26.791049
Jacket 54,854560.0,4.2,3,XL,Unisex,2026-05-16 19:24:26.791128
Crewneck 55,1793760.0,3.6,3,XXL,Men,2026-05-16 19:24:26.791209
T-shirt 56,4643040.0,3.8,3,S,Women,2026-05-16 19:24:26.791291
